docid	DW
msmarco_passage_42_362637113	55
msmarco_passage_42_574789819	86
msmarco_passage_42_574793873	57
msmarco_passage_42_575019146	43
msmarco_passage_42_575019995	39
msmarco_passage_42_575020379	43
msmarco_passage_42_575021255	54
msmarco_passage_42_575022655	43
msmarco_passage_42_575023073	54
msmarco_passage_42_575023525	57
msmarco_passage_42_575023979	72
msmarco_passage_42_575025004	48
msmarco_passage_42_575025429	58
msmarco_passage_42_772519657	51
msmarco_passage_42_775173207	49
msmarco_passage_42_800027179	58
msmarco_passage_43_210435430	53
msmarco_passage_43_215637860	38
msmarco_passage_43_216045194	47
msmarco_passage_43_216429439	66
msmarco_passage_43_72094035	51
msmarco_passage_43_72096193	56
msmarco_passage_43_72097965	52
msmarco_passage_45_23504190	59
msmarco_passage_45_496603267	58
msmarco_passage_45_707273153	47
msmarco_passage_45_711419191	45
msmarco_passage_46_104445467	58
msmarco_passage_46_514698615	57
msmarco_passage_46_534178436	52
msmarco_passage_46_534212960	80
msmarco_passage_46_534577274	44
msmarco_passage_46_535099449	52
msmarco_passage_46_535164405	58
msmarco_passage_46_535899778	37
msmarco_passage_46_536627199	54
msmarco_passage_46_537801548	56
msmarco_passage_46_537808762	48
msmarco_passage_46_538974827	63
msmarco_passage_46_539072504	57
msmarco_passage_46_543450730	58
msmarco_passage_46_548069061	60
msmarco_passage_46_554245987	56
msmarco_passage_46_556162102	54
msmarco_passage_46_556356889	46
msmarco_passage_46_556684936	56
msmarco_passage_46_557086902	58
msmarco_passage_46_557091062	53
msmarco_passage_46_557091493	56
msmarco_passage_46_558874393	50
msmarco_passage_46_558874854	60
msmarco_passage_46_559476329	74
msmarco_passage_46_559824680	52
msmarco_passage_46_560771018	51
msmarco_passage_46_562025894	67
msmarco_passage_46_563031500	64
msmarco_passage_46_563570841	52
msmarco_passage_46_563626047	45
msmarco_passage_46_565331567	48
msmarco_passage_46_834564660	54
msmarco_passage_49_599263476	57
msmarco_passage_49_863538158	52
msmarco_passage_50_563832486	56
msmarco_passage_50_573370856	1664
msmarco_passage_50_573538194	1662
msmarco_passage_50_573582579	1665
msmarco_passage_51_420235737	61
msmarco_passage_51_514132735	61
msmarco_passage_51_514197254	57
msmarco_passage_51_514480456	55
msmarco_passage_51_541716598	52
msmarco_passage_51_726067003	44
msmarco_passage_51_791327609	53
msmarco_passage_52_187338936	51
msmarco_passage_52_818545273	66
msmarco_passage_52_818549501	52
msmarco_passage_53_207822637	55
msmarco_passage_53_211111627	73
msmarco_passage_53_214232051	54
msmarco_passage_53_214477094	44
msmarco_passage_54_101304760	51
msmarco_passage_54_496068894	60
msmarco_passage_54_604908059	53
msmarco_passage_54_733661387	52
msmarco_passage_55_469818359	54
msmarco_passage_57_120564766	46
msmarco_passage_57_136459109	42
msmarco_passage_57_140613931	56
msmarco_passage_57_140614400	47
msmarco_passage_57_426882377	59
msmarco_passage_57_831442007	62
msmarco_passage_57_831445053	54
msmarco_passage_57_831446790	52
msmarco_passage_57_831471129	54
msmarco_passage_58_241678999	51
msmarco_passage_58_637820024	49
msmarco_passage_59_116364497	54
msmarco_passage_59_129603409	46
msmarco_passage_59_129622441	42
msmarco_passage_59_742578952	42
msmarco_passage_59_742593797	50
msmarco_passage_60_420569079	47
msmarco_passage_60_519923516	66
msmarco_passage_60_757548523	45
msmarco_passage_61_293879889	54
msmarco_passage_62_112822780	60
msmarco_passage_62_113776367	61
msmarco_passage_62_138491385	46
msmarco_passage_62_138491824	52
msmarco_passage_62_139176110	49
msmarco_passage_62_141456638	75
msmarco_passage_62_143299009	49
msmarco_passage_62_143638493	50
msmarco_passage_62_144047153	53
msmarco_passage_62_144053391	51
msmarco_passage_62_146164802	55
msmarco_passage_62_148267794	59
msmarco_passage_62_777257329	56
msmarco_passage_63_545270568	68
msmarco_passage_63_545271151	51
msmarco_passage_63_545271603	44
msmarco_passage_63_545273898	51
msmarco_passage_63_642195743	52
msmarco_passage_63_66764914	60
msmarco_passage_63_66997324	57
msmarco_passage_63_66999069	60
msmarco_passage_63_67000525	51
msmarco_passage_63_67000957	34
msmarco_passage_63_67001308	49
msmarco_passage_63_794092251	64
msmarco_passage_63_796393486	57
msmarco_passage_63_796394400	58
msmarco_passage_64_246236197	59
msmarco_passage_64_646724922	64
msmarco_passage_66_783925984	57
msmarco_passage_67_183715700	56
msmarco_passage_67_338397824	61
msmarco_passage_67_557499014	49
msmarco_passage_67_952154771	41
msmarco_passage_00_242230792	42
msmarco_passage_00_242231638	47
msmarco_passage_00_349835306	42
msmarco_passage_00_609896366	52
msmarco_passage_00_826368438	55
msmarco_passage_01_19568614	50
msmarco_passage_01_231509043	40
msmarco_passage_01_380758297	45
msmarco_passage_01_404433987	84
msmarco_passage_01_465150034	51
msmarco_passage_01_619723152	59
msmarco_passage_01_629339140	61
msmarco_passage_01_637283154	60
msmarco_passage_02_577657178	63
msmarco_passage_04_16346217	62
msmarco_passage_04_16350053	39
msmarco_passage_04_16358517	50
msmarco_passage_04_314657795	63
msmarco_passage_04_541281268	64
msmarco_passage_04_541282920	69
msmarco_passage_05_582443931	30
msmarco_passage_05_747837447	32
msmarco_passage_05_750373746	50
msmarco_passage_05_858587963	51
msmarco_passage_06_305749167	52
msmarco_passage_06_513911766	52
msmarco_passage_06_577836923	70
msmarco_passage_06_797683488	46
msmarco_passage_07_575483219	51
msmarco_passage_07_58583604	52
msmarco_passage_07_862872977	53
msmarco_passage_08_204323566	31
msmarco_passage_09_147821148	52
msmarco_passage_09_75908760	47
msmarco_passage_09_75920487	47
msmarco_passage_10_389471933	41
msmarco_passage_10_605306322	1880
msmarco_passage_10_695802505	50
msmarco_passage_10_70214000	45
msmarco_passage_10_736545626	45
msmarco_passage_10_791849786	57
msmarco_passage_10_842995788	52
msmarco_passage_11_381364907	70
msmarco_passage_11_381368866	33
msmarco_passage_11_381369232	56
msmarco_passage_11_519414678	54
msmarco_passage_11_854396948	64
msmarco_passage_11_854447530	69
msmarco_passage_12_249370216	109
msmarco_passage_13_607593482	59
msmarco_passage_14_213073206	73
msmarco_passage_15_119073065	42
msmarco_passage_15_121072617	42
msmarco_passage_15_318394700	43
msmarco_passage_15_647185987	57
msmarco_passage_16_121626924	52
msmarco_passage_16_799575328	55
msmarco_passage_17_256363389	50
msmarco_passage_17_409009589	53
msmarco_passage_17_68421210	51
msmarco_passage_18_90912637	54
msmarco_passage_18_91652667	54
msmarco_passage_18_91671081	54
msmarco_passage_18_92100781	54
msmarco_passage_18_97197214	54
msmarco_passage_19_11387878	54
msmarco_passage_19_271960775	54
msmarco_passage_19_364238488	54
msmarco_passage_20_419198372	54
msmarco_passage_22_288531875	47
msmarco_passage_22_288533220	39
msmarco_passage_22_457213000	71
msmarco_passage_22_508612710	58
msmarco_passage_22_693094598	51
msmarco_passage_22_781479033	56
msmarco_passage_23_160942682	45
msmarco_passage_23_357235743	52
msmarco_passage_23_357487739	48
msmarco_passage_23_357490677	52
msmarco_passage_23_357492033	49
msmarco_passage_23_593688924	49
msmarco_passage_23_593689322	42
msmarco_passage_24_682315343	41
msmarco_passage_24_702445060	52
msmarco_passage_24_747393090	59
msmarco_passage_24_767272786	52
msmarco_passage_24_797174468	61
msmarco_passage_24_798567417	70
msmarco_passage_24_808099080	65
msmarco_passage_24_840422753	60
msmarco_passage_24_855762561	50
msmarco_passage_25_153654829	58
msmarco_passage_27_144824908	57
msmarco_passage_27_479408603	43
msmarco_passage_28_501272617	47
msmarco_passage_28_869271532	51
msmarco_passage_29_685342524	63
msmarco_passage_31_121355766	45
msmarco_passage_31_253246123	1061
msmarco_passage_34_160371086	52
msmarco_passage_34_310837319	52
msmarco_passage_34_310844574	57
msmarco_passage_34_386916500	54
msmarco_passage_34_87903485	52
msmarco_passage_35_323293728	46
msmarco_passage_35_323296242	61
msmarco_passage_35_408820408	50
msmarco_passage_36_153427166	49
msmarco_passage_36_153428047	50
msmarco_passage_36_185517652	47
msmarco_passage_36_602214185	33
msmarco_passage_37_231405673	45
msmarco_passage_37_504051751	72
msmarco_passage_37_506324483	72
msmarco_passage_37_506713821	72
msmarco_passage_37_540011370	62
msmarco_passage_37_540015215	39
msmarco_passage_37_540023699	50
msmarco_passage_37_587075679	51
msmarco_passage_39_431734720	54
msmarco_passage_41_365419605	39
msmarco_passage_43_407970524	30
msmarco_passage_43_783709185	84
msmarco_passage_43_783709844	49
msmarco_passage_43_783710238	33
msmarco_passage_43_783712858	59
msmarco_passage_43_786148498	42
msmarco_passage_44_126571143	59
msmarco_passage_44_127418312	45
msmarco_passage_44_451916387	46
msmarco_passage_45_37836692	47
msmarco_passage_45_763607167	48
msmarco_passage_46_26604784	52
msmarco_passage_46_408816233	56
msmarco_passage_47_24648911	95
msmarco_passage_47_252462043	58
msmarco_passage_47_277048856	52
msmarco_passage_47_601454806	58
msmarco_passage_48_276646880	57
msmarco_passage_49_306392669	43
msmarco_passage_49_385453151	45
msmarco_passage_49_765874400	51
msmarco_passage_49_813442152	40
msmarco_passage_50_684161521	58
msmarco_passage_50_685519926	58
msmarco_passage_50_700013697	40
msmarco_passage_50_723640880	50
msmarco_passage_50_724020237	51
msmarco_passage_50_744266548	52
msmarco_passage_50_758911419	40
msmarco_passage_50_773557143	51
msmarco_passage_50_786433751	52
msmarco_passage_50_8289213	52
msmarco_passage_52_722455024	49
msmarco_passage_53_459368461	18268
msmarco_passage_54_110530228	49
msmarco_passage_54_196594966	7798
msmarco_passage_55_29206647	48
msmarco_passage_55_29209646	45
msmarco_passage_55_29210946	52
msmarco_passage_55_848580736	51
msmarco_passage_56_291781762	59
msmarco_passage_56_34390261	55
msmarco_passage_57_44044634	52
msmarco_passage_57_560005703	52
msmarco_passage_57_618494253	57
msmarco_passage_57_816003437	66
msmarco_passage_58_504491332	51
msmarco_passage_58_759316816	52
msmarco_passage_58_769054857	52
msmarco_passage_58_9661393	48
msmarco_passage_59_243620114	1061
msmarco_passage_59_541797286	45
msmarco_passage_60_766564241	1247
msmarco_passage_60_766763118	1252
msmarco_passage_60_766849313	1260
msmarco_passage_60_766917420	1256
msmarco_passage_60_766985463	1254
msmarco_passage_60_767055707	1253
msmarco_passage_60_767226659	1340
msmarco_passage_60_767320624	1252
msmarco_passage_60_767485312	1253
msmarco_passage_60_767570175	1248
msmarco_passage_60_767654938	1230
msmarco_passage_60_767739167	1234
msmarco_passage_60_767954406	1257
msmarco_passage_60_768042142	1241
msmarco_passage_60_768110504	1241
msmarco_passage_60_768178863	1257
msmarco_passage_60_768266646	1239
msmarco_passage_60_768334972	1257
msmarco_passage_60_768422750	1249
msmarco_passage_60_768528289	1255
msmarco_passage_60_768596769	1243
msmarco_passage_60_768738995	1257
msmarco_passage_60_768826731	1241
msmarco_passage_60_768895093	1241
msmarco_passage_60_768963452	1257
msmarco_passage_60_769051235	1239
msmarco_passage_60_769119561	1257
msmarco_passage_60_769207339	1249
msmarco_passage_60_769312878	1255
msmarco_passage_60_769381358	1243
msmarco_passage_60_769480754	1247
msmarco_passage_60_769679631	1252
msmarco_passage_60_769765826	1260
msmarco_passage_60_769833933	1256
msmarco_passage_60_769901976	1254
msmarco_passage_60_769972220	1253
msmarco_passage_60_770172175	1268
msmarco_passage_60_770278515	1262
msmarco_passage_60_770348113	1248
msmarco_passage_60_770433036	1252
msmarco_passage_60_770501339	1256
msmarco_passage_60_770569691	1256
msmarco_passage_60_770638043	1266
msmarco_passage_60_770725806	1281
msmarco_passage_60_770794372	1263
msmarco_passage_60_770876716	1259
msmarco_passage_60_771011772	1261
msmarco_passage_60_771099574	1244
msmarco_passage_60_771170065	1245
msmarco_passage_60_771241583	1260
msmarco_passage_61_140169005	39
msmarco_passage_61_140169441	35
msmarco_passage_61_140387727	45
msmarco_passage_61_450735236	57
msmarco_passage_63_112203994	46
msmarco_passage_63_350499071	55
msmarco_passage_63_352192878	61
msmarco_passage_64_97810928	48
msmarco_passage_65_159839885	59
msmarco_passage_66_295455189	51
msmarco_passage_66_517614000	291
msmarco_passage_66_517648255	22592
msmarco_passage_67_190404021	57
msmarco_passage_67_20623192	56
msmarco_passage_67_237902520	53
msmarco_passage_67_302929071	57
msmarco_passage_67_316538204	53
msmarco_passage_67_342802994	57
msmarco_passage_67_342803453	50
msmarco_passage_67_342805423	47
msmarco_passage_67_342806394	51
msmarco_passage_67_342807246	44
msmarco_passage_67_342808107	46
msmarco_passage_67_342808531	54
msmarco_passage_67_342808964	57
msmarco_passage_67_342810457	50
msmarco_passage_67_342810913	45
msmarco_passage_67_342811334	58
msmarco_passage_67_342812244	58
msmarco_passage_67_342812716	51
msmarco_passage_67_348713636	49
msmarco_passage_67_503899149	16
msmarco_passage_67_505072782	52
msmarco_passage_67_555921139	57
msmarco_passage_67_636813384	49
msmarco_passage_67_636815980	51
msmarco_passage_67_776906767	53
msmarco_passage_67_887953638	57
msmarco_passage_68_219838103	76
msmarco_passage_68_610841526	25
msmarco_passage_00_334417901	6892
msmarco_passage_00_394042519	59
msmarco_passage_00_706040337	6916
msmarco_passage_01_466412844	52
msmarco_passage_02_576654806	61
msmarco_passage_02_576693316	50
msmarco_passage_03_108917998	64
msmarco_passage_03_49834489	54
msmarco_passage_03_560301060	59
msmarco_passage_06_648256317	75
msmarco_passage_06_76953120	59
msmarco_passage_06_77490540	64
msmarco_passage_06_77491060	48
msmarco_passage_08_425755514	78
msmarco_passage_08_755806558	51
msmarco_passage_09_386028846	6931
msmarco_passage_09_9738461	63
msmarco_passage_09_9739939	56
msmarco_passage_10_317702495	52
msmarco_passage_10_317703910	50
msmarco_passage_10_317709981	52
msmarco_passage_10_787062093	47
msmarco_passage_12_496278346	44
msmarco_passage_13_642537987	43
msmarco_passage_13_643137091	43
msmarco_passage_13_653530155	48
msmarco_passage_13_673124432	55
msmarco_passage_13_679701621	66
msmarco_passage_13_717521962	54
msmarco_passage_13_829203766	57
msmarco_passage_15_391810944	55
msmarco_passage_15_391812187	55
msmarco_passage_15_628283231	44
msmarco_passage_15_628285361	44
msmarco_passage_15_774520130	49
msmarco_passage_15_774522062	52
msmarco_passage_22_119640174	55
msmarco_passage_22_754203743	50
msmarco_passage_22_754397000	51
msmarco_passage_22_754451648	52
msmarco_passage_23_374812227	54
msmarco_passage_23_49505955	48
msmarco_passage_24_454625077	45
msmarco_passage_24_476511269	47
msmarco_passage_24_476654564	47
msmarco_passage_24_485564546	59
msmarco_passage_24_485565400	53
msmarco_passage_24_485565879	54
msmarco_passage_24_485566331	50
msmarco_passage_24_485567683	53
msmarco_passage_24_485569205	59
msmarco_passage_24_485570495	53
msmarco_passage_26_161923715	40
msmarco_passage_26_162547940	40
msmarco_passage_26_177120596	49
msmarco_passage_26_177121044	53
msmarco_passage_26_177123353	50
msmarco_passage_26_177144290	58
msmarco_passage_26_492095796	70
msmarco_passage_26_492096308	34
msmarco_passage_26_492097529	25
msmarco_passage_26_492097827	39
msmarco_passage_26_492098214	47
msmarco_passage_26_737174012	55
msmarco_passage_26_737196623	53
msmarco_passage_26_737226817	54
msmarco_passage_26_864447098	54
msmarco_passage_28_441527449	45
msmarco_passage_28_530704493	50
msmarco_passage_28_67733587	72
msmarco_passage_29_548094915	51
msmarco_passage_29_765307948	44
msmarco_passage_30_1616754	23
msmarco_passage_31_234870394	57
msmarco_passage_32_171837247	41
msmarco_passage_32_443212553	51
msmarco_passage_32_443787357	49
msmarco_passage_32_444354608	54
msmarco_passage_32_445071398	38
msmarco_passage_32_445366039	52
msmarco_passage_32_458721484	58
msmarco_passage_32_667223440	56
msmarco_passage_33_345367226	53
msmarco_passage_33_349912091	46
msmarco_passage_33_374822192	53
msmarco_passage_33_420002892	53
msmarco_passage_33_714473474	43
msmarco_passage_33_722944093	55
msmarco_passage_34_516140858	45
msmarco_passage_34_579577333	60
msmarco_passage_34_579579169	64
msmarco_passage_35_333506553	64
msmarco_passage_35_333508045	122
msmarco_passage_36_340709153	55
msmarco_passage_37_103697987	38
msmarco_passage_37_103700660	49
msmarco_passage_37_173315381	8
msmarco_passage_37_173316214	8
msmarco_passage_38_517526460	44
msmarco_passage_38_527141123	56
msmarco_passage_39_503332859	44
msmarco_passage_40_284297974	49
msmarco_passage_40_326625274	44
msmarco_passage_40_326626126	60
msmarco_passage_40_326627622	48
msmarco_passage_40_326628563	44
msmarco_passage_41_646638083	69
msmarco_passage_41_762310330	87
msmarco_passage_44_457712120	41
msmarco_passage_44_623501588	56
msmarco_passage_44_735634641	56
msmarco_passage_44_735635122	56
msmarco_passage_44_735637079	46
msmarco_passage_45_317428048	60
msmarco_passage_45_317430664	68
msmarco_passage_45_317435109	67
msmarco_passage_45_317435698	56
msmarco_passage_45_577893191	47
msmarco_passage_48_110663356	44
msmarco_passage_48_189548447	50
msmarco_passage_48_263659787	75
msmarco_passage_48_327842778	55
msmarco_passage_48_336430446	61
msmarco_passage_49_642461884	71
msmarco_passage_49_649846093	45
msmarco_passage_49_651389027	51
msmarco_passage_49_735068657	78
msmarco_passage_49_735074180	55
msmarco_passage_49_735074719	52
msmarco_passage_50_470168511	50
msmarco_passage_50_858946655	52
msmarco_passage_51_242536393	48
msmarco_passage_51_253438433	63
msmarco_passage_51_413124395	52
msmarco_passage_52_436623387	64
msmarco_passage_52_438549537	50
msmarco_passage_52_451397091	61
msmarco_passage_52_483023757	47
msmarco_passage_52_483024514	39
msmarco_passage_52_483026260	55
msmarco_passage_52_483027590	43
msmarco_passage_52_483028325	41
msmarco_passage_52_483029012	52
msmarco_passage_52_483029497	39
msmarco_passage_52_483032500	43
msmarco_passage_52_483033235	41
msmarco_passage_52_483049132	43
msmarco_passage_52_483084518	41
msmarco_passage_52_483101600	51
msmarco_passage_52_483149075	64
msmarco_passage_52_483166633	54
msmarco_passage_52_483177080	54
msmarco_passage_52_483183462	52
msmarco_passage_52_483202617	55
msmarco_passage_52_483204127	55
msmarco_passage_52_483205637	43
msmarco_passage_52_483206487	46
msmarco_passage_52_483208691	69
msmarco_passage_52_483236473	52
msmarco_passage_52_483245043	48
msmarco_passage_52_483260020	62
msmarco_passage_52_483264140	41
msmarco_passage_52_483275290	42
msmarco_passage_52_483311679	50
msmarco_passage_52_483331503	55
msmarco_passage_52_483336217	55
msmarco_passage_52_483380694	46
msmarco_passage_52_483433823	61
msmarco_passage_52_483436713	57
msmarco_passage_52_483441522	59
msmarco_passage_52_483451634	71
msmarco_passage_52_483452649	46
msmarco_passage_52_483454884	47
msmarco_passage_52_483455320	53
msmarco_passage_52_483455821	44
msmarco_passage_52_483456668	52
msmarco_passage_52_483465900	52
msmarco_passage_52_483471450	52
msmarco_passage_52_483480030	50
msmarco_passage_52_483481048	51
msmarco_passage_52_483481837	37
msmarco_passage_52_483482244	40
msmarco_passage_52_483482655	44
msmarco_passage_52_483484011	50
msmarco_passage_52_483485029	51
msmarco_passage_52_483485818	37
msmarco_passage_52_483486225	40
msmarco_passage_52_483486636	44
msmarco_passage_52_483500094	53
msmarco_passage_52_483500968	47
msmarco_passage_52_483501855	50
msmarco_passage_52_483502334	46
msmarco_passage_52_483502808	55
msmarco_passage_52_483503300	38
msmarco_passage_52_494553069	29
msmarco_passage_52_495559770	40
msmarco_passage_52_495560902	55
msmarco_passage_52_495561373	29
msmarco_passage_52_495563042	54
msmarco_passage_52_495565697	70
msmarco_passage_52_498337693	51
msmarco_passage_53_42241588	58
msmarco_passage_53_42242069	67
msmarco_passage_53_42243017	35
msmarco_passage_53_47359759	48
msmarco_passage_53_54561661	56
msmarco_passage_53_54562453	42
msmarco_passage_53_54563692	58
msmarco_passage_53_54564546	64
msmarco_passage_54_145105354	57
msmarco_passage_54_167703205	30
msmarco_passage_54_464686039	87
msmarco_passage_57_104936899	45
msmarco_passage_57_335933287	63
msmarco_passage_57_335934771	56
msmarco_passage_58_160139091	40
msmarco_passage_58_160140337	52
msmarco_passage_58_160142169	55
msmarco_passage_58_160142629	40
msmarco_passage_58_310175750	50
msmarco_passage_58_36443870	48
msmarco_passage_58_42433713	62
msmarco_passage_58_47189332	50
msmarco_passage_58_47194852	51
msmarco_passage_58_47209267	41
msmarco_passage_58_47210188	43
msmarco_passage_58_47210640	53
msmarco_passage_58_47211108	51
msmarco_passage_58_47211583	41
msmarco_passage_58_47212971	51
msmarco_passage_58_47213419	40
msmarco_passage_58_47216692	55
msmarco_passage_58_50210744	49
msmarco_passage_58_50212034	50
msmarco_passage_58_50213730	53
msmarco_passage_58_50215042	49
msmarco_passage_58_50216790	52
msmarco_passage_58_50217245	46
msmarco_passage_58_50219425	51
msmarco_passage_58_61094990	58
msmarco_passage_58_61095489	56
msmarco_passage_58_61095984	51
msmarco_passage_58_66125820	50
msmarco_passage_58_93501418	54
msmarco_passage_59_220978758	57
msmarco_passage_60_691382625	47
msmarco_passage_61_297904725	56
msmarco_passage_61_412694126	45
msmarco_passage_61_65476269	56
msmarco_passage_61_67306104	51
msmarco_passage_61_68384094	47
msmarco_passage_61_69710949	52
msmarco_passage_61_70346792	48
msmarco_passage_61_72562525	36
msmarco_passage_61_72622744	62
msmarco_passage_61_72623636	45
msmarco_passage_61_72629119	51
msmarco_passage_61_72629536	56
msmarco_passage_62_223098356	39
msmarco_passage_62_223099100	40
msmarco_passage_62_223099530	48
msmarco_passage_62_223102176	38
msmarco_passage_62_223207376	53
msmarco_passage_62_226750117	60
msmarco_passage_62_234550964	77
msmarco_passage_62_235239149	48
msmarco_passage_62_235239592	49
msmarco_passage_62_235240483	74
msmarco_passage_62_268750962	51
msmarco_passage_62_280474988	38
msmarco_passage_62_369042024	52
msmarco_passage_62_372275677	55
msmarco_passage_62_372277133	45
msmarco_passage_62_372277958	59
msmarco_passage_62_391070898	51
msmarco_passage_62_691199187	51
msmarco_passage_62_691206271	57
msmarco_passage_62_691636157	45
msmarco_passage_62_709154683	81
msmarco_passage_62_718343413	55
msmarco_passage_63_410534964	56
msmarco_passage_63_410536874	57
msmarco_passage_66_192584107	56
msmarco_passage_67_278100528	47
msmarco_passage_67_431651631	9
msmarco_passage_67_491218264	59
msmarco_passage_67_879317937	51
msmarco_passage_68_125240075	46
msmarco_passage_68_1925806	45
msmarco_passage_68_1926222	59
msmarco_passage_68_1927710	55
msmarco_passage_68_2850139	47
msmarco_passage_68_2850950	53
msmarco_passage_68_681896154	70
msmarco_passage_68_681896676	45
msmarco_passage_68_681900047	45
msmarco_passage_69_56524775	10
msmarco_passage_69_56524941	44
msmarco_passage_69_56526252	53
msmarco_passage_69_56526760	40
msmarco_passage_69_56527116	44
msmarco_passage_69_56527505	37
msmarco_passage_69_57488279	62
msmarco_passage_69_57921252	46
msmarco_passage_00_334417901	6892
msmarco_passage_00_512437630	76
msmarco_passage_00_706040337	6916
msmarco_passage_01_302029118	13982
msmarco_passage_03_39312968	60
msmarco_passage_05_269237255	68
msmarco_passage_05_269239244	57
msmarco_passage_06_529133	55
msmarco_passage_06_69525637	49
msmarco_passage_08_450588390	87
msmarco_passage_08_450589794	63
msmarco_passage_09_195228725	80
msmarco_passage_09_386028846	6931
msmarco_passage_09_562861468	46
msmarco_passage_09_568065835	84
msmarco_passage_09_834080295	71
msmarco_passage_10_851904124	37
msmarco_passage_10_851905183	20
msmarco_passage_10_851906130	19
msmarco_passage_12_102469685	54
msmarco_passage_12_102470516	26
msmarco_passage_12_110728302	63
msmarco_passage_12_111383703	54
msmarco_passage_12_112003116	54
msmarco_passage_12_112003947	26
msmarco_passage_12_390392443	45
msmarco_passage_13_777067763	52
msmarco_passage_13_777069224	62
msmarco_passage_14_689689246	76
msmarco_passage_16_580242785	60
msmarco_passage_16_596052846	62
msmarco_passage_16_618268380	62
msmarco_passage_16_852097596	192
msmarco_passage_17_67846752	95
msmarco_passage_29_484379755	57
msmarco_passage_29_484424093	52
msmarco_passage_29_484430461	44
msmarco_passage_29_484903106	40
msmarco_passage_29_484904015	72
msmarco_passage_29_484908827	64
msmarco_passage_29_484917091	58
msmarco_passage_29_484920588	58
msmarco_passage_29_484923389	48
msmarco_passage_29_484924688	73
msmarco_passage_29_484926949	55
msmarco_passage_29_484929456	45
msmarco_passage_29_484937499	72
msmarco_passage_29_484947502	49
msmarco_passage_29_484954796	51
msmarco_passage_29_484965455	46
msmarco_passage_29_484973845	58
msmarco_passage_29_484977726	57
msmarco_passage_29_484978641	47
msmarco_passage_29_484980112	75
msmarco_passage_29_484980689	55
msmarco_passage_29_484988455	47
msmarco_passage_29_484990605	47
msmarco_passage_29_484992363	47
msmarco_passage_29_484994087	62
msmarco_passage_29_484998776	52
msmarco_passage_29_485000510	57
msmarco_passage_29_485001430	54
msmarco_passage_29_485001903	53
msmarco_passage_29_485002345	50
msmarco_passage_29_485002780	67
msmarco_passage_29_485003320	58
msmarco_passage_29_570640644	49
msmarco_passage_29_571568793	56
msmarco_passage_29_572273314	61
msmarco_passage_30_518771803	50
msmarco_passage_32_217172792	36
msmarco_passage_32_774993964	108
msmarco_passage_33_355745565	62
msmarco_passage_33_357007123	55
msmarco_passage_33_366095902	67
msmarco_passage_33_385843854	62
msmarco_passage_33_3976117	46
msmarco_passage_35_305926194	56
msmarco_passage_35_697283297	131
msmarco_passage_36_432719097	56
msmarco_passage_36_432756037	168
msmarco_passage_36_441435083	68
msmarco_passage_37_281305102	59
msmarco_passage_37_865776479	42
msmarco_passage_38_132804003	65
msmarco_passage_38_655706574	56
msmarco_passage_42_20570860	50
msmarco_passage_42_20615621	47
msmarco_passage_42_20636665	39
msmarco_passage_42_20639713	57
msmarco_passage_42_20644309	44
msmarco_passage_42_20681464	37
msmarco_passage_42_219493738	71
msmarco_passage_42_341701231	68
msmarco_passage_42_341703224	57
msmarco_passage_43_568476428	58
msmarco_passage_43_76512898	39
msmarco_passage_43_76514245	57
msmarco_passage_43_76515468	73
msmarco_passage_43_76516797	39
msmarco_passage_45_783817157	103
msmarco_passage_45_794814547	94
msmarco_passage_45_795427073	75
msmarco_passage_45_797770779	68
msmarco_passage_46_522545223	54
msmarco_passage_46_522548873	43
msmarco_passage_46_523281035	48
msmarco_passage_46_523588886	56
msmarco_passage_46_523589378	42
msmarco_passage_46_523591846	42
msmarco_passage_46_523594405	51
msmarco_passage_47_11987893	5862
msmarco_passage_47_12302180	6063
msmarco_passage_47_41838054	74
msmarco_passage_48_268275102	61
msmarco_passage_50_446726113	47
msmarco_passage_51_244035586	52
msmarco_passage_51_247143765	61
msmarco_passage_51_247158482	53
msmarco_passage_51_247158923	38
msmarco_passage_51_247160391	70
msmarco_passage_51_247161809	49
msmarco_passage_55_863902597	63
msmarco_passage_56_459588371	1462
msmarco_passage_56_518843883	56
msmarco_passage_56_534128587	47
msmarco_passage_56_534132753	40
msmarco_passage_56_534348715	49
msmarco_passage_56_534354985	50
msmarco_passage_56_534490277	61
msmarco_passage_56_534492078	52
msmarco_passage_56_534494694	60
msmarco_passage_56_534548596	47
msmarco_passage_56_535896124	62
msmarco_passage_56_535897162	46
msmarco_passage_56_536915335	59
msmarco_passage_56_696850334	55
msmarco_passage_58_869020464	47
msmarco_passage_58_869021384	80
msmarco_passage_58_869022010	53
msmarco_passage_60_766662911	300
msmarco_passage_60_769579424	300
msmarco_passage_60_770990165	210
msmarco_passage_60_773568199	81
msmarco_passage_61_105157758	46
msmarco_passage_61_144093344	63
msmarco_passage_61_144149449	84
msmarco_passage_61_145961403	76
msmarco_passage_61_145962465	71
msmarco_passage_61_147886430	44
msmarco_passage_62_233743040	49
msmarco_passage_62_403841585	49
msmarco_passage_62_49716048	45
msmarco_passage_62_49924079	58
msmarco_passage_62_51136271	49
msmarco_passage_65_134603229	62
msmarco_passage_65_134606978	52
msmarco_passage_65_181539927	81
msmarco_passage_65_182850363	56
msmarco_passage_67_547645679	37
msmarco_passage_67_547646737	20
msmarco_passage_67_547647683	19
msmarco_passage_67_643413758	36
msmarco_passage_67_779397102	37
